formula,Tc
Tl0.5Pb0.5Sr2Ca0.9Y0.1Cu2O7,99.3
Y1Ba1.975La0.025Cu3O6.95,99
Y1Ba1.95La0.05Cu3O6.9,99
Y1Ba1.925La0.075Cu3O6.9,99
Sr2Ca1Cu2F2O4.6,99
Sr2Ca1Cu2F2O4.6,99
Sr0.7Ca0.3Cu1O2,99
Sr0.7Ca0.3Cu1O2,99
Bi2Sr2Ca1Cu2O8,99
Tl2Ba2Ca0.9Ce0.1Cu1.98Fe0.02O8,99
C0.3Ba2Ca4Cu5.7O12.8,99
Tl0.25Li0.25Ba2Ca2Cu2.25Si1.25O7.719,99
Bi2Sr2Ca1Cu2O8,98
Sr0.6Ca0.333Cu1O2.2,98
Hg1Ba2Cu1O4.09,98
Hg1Ba2Cu1O4.12,98
Hg1Ba2Ca1Cu2O6.31,98
Hg1Ba2Ca2Cu3O8.17,98
Hg1Ba2Cu1O4.081,98
V0.5Sr2.25Ca1.75Cu3.5O9.7,98
Sr1.4Ba0.6Cu1O3.4,98
Cu1Cr0.9Fe0.1O2,98
Tl1Ba2Ca0.8Y0.2Cu2O7,97.6
Hg1Ba2Cu1O4.162,97.4
Hg1Ba2Cu1O4.15,97.2
Y1Ba2Cu3O6.94,97
Tl1Ba1Sr1Ca2Cu3O9,97
Hg1Ba2Cu1O4.09,97
Bi1.6Pb0.4Sr2Ca2Cu3O10.15,97
Hg0.95Re0.05Ba2Cu1O4.372,97
Hg1Ba2Cu1O4.18,97
Hg1Ba2Cu1O4.22,97
Hg1Ba2Cu1O4.23,97
Hg1Ba2Cu1O4.13,97
Y1Ba2Cu3O6.69,97
Hg1Ba2Cu1FO4,97
Hg1Ba2Cu1FO4,97
Hg1Ba2Cu1O4,97
Hg1Ba2Cu1O4,97
Hg0.9Re0.1Ba2Cu1O4.425,96.8
Hg1Ba2Cu1O4.15,96.8
Hg1Ba2Cu1O4.18,96.6
Hg0.92Ba2.05Cu1.03O4.062,96.5
Tl1Ba2Ca0.8Nd0.2Cu2O7,96.3
Hg0.85Re0.15Ba2Cu1O4.525,96.3
Hg0.85Re0.15Ba2Cu1O4.53,96.3
Gd1Ba2Cu3O7,96.2
Yb1Ba2Cu3O7,96.1
Y1Ba1.9La0.1Cu3O7,96.1
Gd1Ba2Cu3O7,96
Hg1Ba2Cu1O4.09,96
Hg0.8V0.2Ba2Cu1O4.3,96
Nd1Ba2Cu3O7,96
Hg1Ba2Cu1O4.08,96
Hg1Ba2Cu1O4.08,96
Hg0.95Re0.05Ba2Cu1O4.37,96
Hg1Ba2Cu1O4,96
Sm1Ba2Cu3O7,96
Y0.8Ba2Cu3O6.44,96
Hg1Ba2Cu1FO4,96
Hg1Ba2Cu1O4,96
Bi2Sr2.1Y0.1Ca0.8Cu2O8.26,96
Y1.1Ba2Cu3O6.87,95.9
Tl1Ba2Ca0.6Y0.4Cu2O7,95.8
Gd1Ba2Cu3O7,95.7
Hg1Ba2Cu1O4.096,95.6
Sm1Ba2Cu3O7,95.5
Tl1Ba2Ca0.7Nd0.3Cu2O7,95.5
Y1Ba2Cu3O7,95.5
Nd1Ba2Cu3O7.16,95.3
Hg1Ba2Cu1O4.097,95.3
Bi2Sr2.08Ca0.92Cu2O8,95.3
Eu1Ba2Cu3O7,95.2
Y1Ba2Cu3O6.91,95.2
Y1Ba2Cu3O6.87,95.2
Dy1Ba2Cu3O7,95.1
Nd1Ba2Cu3O7,95.1
Y1Ba2Cu3O6.9,95
Y1Ba1.9La0.1Cu3O6.9,95
Y1Ba2Cu3O6.94,95
Y1Ba2Cu3O7,95
Bi2Sr2Ca2Cu4O11,95
Tl2Ba2Ca1Cu2O7.978,95
Tl2Ba2Ca1Cu2O7.978,95
Ho1Ba2Cu3O7,95
Eu1Ba2Cu3O7,95
Tl1Ba2Cu1O5,95
Hg0.8Cr0.2Ba2Ca2Cu3O8.1,95
Nd1Ba2Cu3O6.82,95
Hg0.9Re0.1Ba2Cu1O4.42,95
Bi2Sr2Ca1Cu2O8,95
Hg1Ba2Cu1O4.18,95
Hg1Ba2Cu1O4.19,95
Sm1Ba2Cu3O6.95,95
Hg1Ba2Cu1O4.047,95
Tl0.5Ba2Ca1.3Be0.7Cu3.5O7.886,95
Sr2Cu1O3.4,95
Sr2Ca3Cu4F3.8O8,95
Eu1Ba2Cu3O7.1,94.9
Y2Ba4Cu7O14,94.8
Hg0.85Re0.15Ba2Cu1O4.52,94.8
Eu1Ba2Cu3O6.97,94.77
Er1Ba2Cu3O6.87,94.5
Y0.975Ca0.025Ba2Cu2.975Al0.025O6.89,94.5
Y1Ba2Cu3H0.2O6.98,94.5
Nd1Ba2Cu3O7,94.5
Hg0.9Re0.1Ba2Cu1O4.41,94.5
Nd1Ba2Cu3O7,94.4
Y1Ba2Cu2.95Co0.05O6.92,94.3
Y1Ba2Cu3O7,94.3
Bi8Sr8Ca4Cu9O34.16,94.2
Y2Ba4Cu7O14,94.2
Hg1Ba2Cu1O4.2,94.2
Gd1Ba2Cu3O6.98,94.2
Bi2Sr2.4Ca0.6Cu2O8,94.2
Y1Ba2Cu3O6.9,94.1
Hg1Ba2Cu1O4.1,94.1
Eu1Ba2Cu3O6.88,94
Gd1Ba2Cu3O6.99,94
Sm1Ba2Cu3O6.944,94
Y1Ba2Cu3O7,94
Bi2Sr1.4Li0.6Ca1Cu2O7.7,94
Y1Ba1.94La0.06Cu3O6.96,94
Y1Ba1.92La0.08Cu3O6.96,94
Hg1Ba2Cu1O4.08,94
Nd1Ba2Cu3O6.76,94
Dy1Ba2Cu3O6.75,94
Eu1Ba2Cu3O6.82,94
Hg1Ba2Ca2Cu3O8.18,94
Hg1Ba2Cu1O4.18,94
Hg1Ba2Ca2Cu3O8.17,94
Eu1Ba2Cu3O6.9,94
Bi2Sr1.9Y0.1Ca1Cu2O8.24,94
Y1Ba1.9La0.1Cu3O6.975,93.9
Y1Ba2Cu3O6.8,93.9
Er0.97Pr0.03Ba2Cu3O7,93.9
Gd1Ba2Cu3O7.08,93.8
Y0.2Eu0.8Ba2Cu3O7,93.8
Y1Ba2Cu3H0.38O7,93.8
Y1Ba1.95La0.05Cu3O6.96,93.8
Hg0.92Ba2.05Cu1.03O4.05,93.8
Hg0.9Re0.1Ba2Cu1O4.42,93.8
Y1Ba2Cu3O6.9,93.8
Y1Ba1.7Cs0.3Cu3O6.6,93.75
Bi2Sr2Ca1Cu2O8,93.7
Hg0.85Re0.15Ba2Cu1O4.49,93.7
Hg0.85Re0.15Ba2Cu1O4.55,93.7
Y0.95La0.05Ba2Cu3O6.58,93.65
Y1Ba2Cu3H0.48O7,93.6
Tl1Ba2Ca0.8Gd0.2Cu2O7,93.6
Y1Ba2Cu3H0.49O7,93.6
Y1Ba1.89La0.11Cu3O6.96,93.6
Y1Ba1.96La0.04Cu3O6.96,93.6
Er1Ba2Cu3O7,93.6
Eu1Ba2Cu3O6.94,93.6
Gd1Ba2Cu3O7,93.6
Y1Ba2Cu3O6.9,93.6
Bi2Sr2.65Ca0.35Cu2O8,93.6
Sm1Ba2Cu3O7.11,93.5
Bi4Ca3Sr3Cu4O16,93.5
Nd1Ba2Cu3O7,93.5
Y1Ba2Cu3H0.13O7,93.5
Y1Ba2Cu3H0.19O7,93.5
Y1Ba1.9La0.1Cu3O6.96,93.5
Y1Ba2Cu3O6.95,93.5
Y1Ba2Cu3O6.95,93.5
Y1Ba2Cu3O6.93,93.5
Y1Ba2Cu3O6.95,93.5
Y1Ba2Cu3O6.87,93.5
Y1Ba2Cu3O6.94,93.5
Y1Ba1.9Cs0.1Cu3O6.65,93.45
Y1Ba2Cu3O6.72,93.4
